3dmol 2.5.4
@antfu/install-pkg 1.1.0
@antfu/utils 9.3.0
@apm-js-collab/code-transformer 0.8.2
@apm-js-collab/tracing-hooks 0.3.1
@babel/code-frame 7.28.6
@babel/code-frame 7.29.0
@babel/compat-data 7.28.6
@babel/core 7.29.0
@babel/generator 7.28.6
@babel/generator 7.29.1
@babel/helper-compilation-targets 7.28.6
@babel/helper-globals 7.28.0
@babel/helper-module-imports 7.28.6
@babel/helper-module-transforms 7.28.6
@babel/helper-string-parser 7.27.1
@babel/helper-validator-identifier 7.28.5
@babel/helper-validator-option 7.27.1
@babel/helpers 7.28.6
@babel/parser 7.28.6
@babel/parser 7.29.0
@babel/template 7.28.6
@babel/traverse 7.28.6
@babel/traverse 7.29.0
@babel/types 7.28.6
@babel/types 7.29.0
@braintree/sanitize-url 7.1.1
@chenglou/pretext 0.0.4
@chevrotain/cst-dts-gen 11.0.3
@chevrotain/cst-dts-gen 12.0.0
@chevrotain/gast 11.0.3
@chevrotain/gast 12.0.0
@chevrotain/regexp-to-ast 11.0.3
@chevrotain/regexp-to-ast 12.0.0
@chevrotain/types 11.0.3
@chevrotain/types 12.0.0
@chevrotain/utils 11.0.3
@chevrotain/utils 12.0.0
@codemirror/autocomplete 6.20.1
@codemirror/commands 6.10.3
@codemirror/lang-css 6.3.1
@codemirror/lang-html 6.4.11
@codemirror/lang-javascript 6.2.5
@codemirror/lang-markdown 6.5.0
@codemirror/language 6.12.3
@codemirror/lint 6.9.5
@codemirror/search 6.7.0
@codemirror/state 6.6.0
@codemirror/view 6.41.1
@dnd-kit/accessibility 3.1.1
@dnd-kit/core 6.3.1
@dnd-kit/modifiers 9.0.0
@dnd-kit/sortable 10.0.0
@dnd-kit/sortable 8.0.0
@dnd-kit/utilities 3.2.2
@esbuild/darwin-arm64 0.25.11
@floating-ui/core 1.7.3
@floating-ui/dom 1.7.4
@floating-ui/react-dom 2.1.6
@floating-ui/utils 0.2.10
@fontsource/carlito 5.2.8
@formatjs/ecma402-abstract 2.3.6
@formatjs/fast-memoize 2.2.7
@formatjs/icu-messageformat-parser 2.11.4
@formatjs/icu-skeleton-parser 1.8.16
@formatjs/intl 3.1.8
@formatjs/intl-localematcher 0.6.2
@formulajs/formulajs 4.5.6
@hono/node-server 1.19.14
@iconify/types 2.0.0
@iconify/utils 3.0.2
@jridgewell/gen-mapping 0.3.13
@jridgewell/remapping 2.3.5
@jridgewell/resolve-uri 3.1.2
@jridgewell/sourcemap-codec 1.5.5
@jridgewell/trace-mapping 0.3.31
@lezer/common 1.5.2
@lezer/css 1.3.3
@lezer/highlight 1.2.3
@lezer/html 1.3.13
@lezer/javascript 1.5.4
@lezer/lr 1.4.10
@lezer/markdown 1.6.3
@lottiefiles/dotlottie-react 0.17.13
@lottiefiles/dotlottie-web 0.61.0
@lukeed/csprng 1.1.0
@lukeed/uuid 2.0.1
@lume/kiwi 0.4.4
@mapbox/mapbox-gl-supported 3.0.0
@mapbox/point-geometry 1.1.0
@mapbox/tiny-sdf 2.1.0
@mapbox/unitbezier 0.0.1
@mapbox/vector-tile 2.0.4
@marijn/find-cluster-break 1.0.2
@mermaid-js/parser 0.6.3
@mermaid-js/parser 1.1.0
@modelcontextprotocol/ext-apps 1.7.1
@modelcontextprotocol/sdk 1.24.3
@modelcontextprotocol/sdk 1.29.0
@napi-rs/canvas 0.1.89
@napi-rs/canvas-darwin-arm64 0.1.89
@opentelemetry/api 1.9.0
@opentelemetry/api-logs 0.208.0
@opentelemetry/context-async-hooks 2.2.0
@opentelemetry/core 2.2.0
@opentelemetry/instrumentation 0.208.0
@opentelemetry/instrumentation-amqplib 0.55.0
@opentelemetry/instrumentation-connect 0.52.0
@opentelemetry/instrumentation-dataloader 0.26.0
@opentelemetry/instrumentation-express 0.57.0
@opentelemetry/instrumentation-fs 0.28.0
@opentelemetry/instrumentation-generic-pool 0.52.0
@opentelemetry/instrumentation-graphql 0.56.0
@opentelemetry/instrumentation-hapi 0.55.0
@opentelemetry/instrumentation-http 0.208.0
@opentelemetry/instrumentation-ioredis 0.56.0
@opentelemetry/instrumentation-kafkajs 0.18.0
@opentelemetry/instrumentation-knex 0.53.0
@opentelemetry/instrumentation-koa 0.57.0
@opentelemetry/instrumentation-lru-memoizer 0.53.0
@opentelemetry/instrumentation-mongodb 0.61.0
@opentelemetry/instrumentation-mongoose 0.55.0
@opentelemetry/instrumentation-mysql 0.54.0
@opentelemetry/instrumentation-mysql2 0.55.0
@opentelemetry/instrumentation-pg 0.61.0
@opentelemetry/instrumentation-redis 0.57.0
@opentelemetry/instrumentation-tedious 0.27.0
@opentelemetry/instrumentation-undici 0.19.0
@opentelemetry/redis-common 0.38.2
@opentelemetry/resources 2.2.0
@opentelemetry/sdk-trace-base 2.2.0
@opentelemetry/semantic-conventions 1.38.0
@opentelemetry/sql-common 0.41.2
@pierre/diffs 1.1.19
@pierre/theme 0.0.28
@pierre/trees 1.0.0-beta.4
@preact/signals 1.3.4
@preact/signals-core 1.14.0
@prisma/instrumentation 6.19.0
@radix-ui/primitive 1.1.3
@radix-ui/react-arrow 1.1.7
@radix-ui/react-checkbox 1.3.3
@radix-ui/react-collection 1.1.7
@radix-ui/react-compose-refs 1.1.2
@radix-ui/react-context 1.1.2
@radix-ui/react-context-menu 2.2.16
@radix-ui/react-dialog 1.1.15
@radix-ui/react-direction 1.1.1
@radix-ui/react-dismissable-layer 1.1.11
@radix-ui/react-dropdown-menu 2.1.16
@radix-ui/react-focus-guards 1.1.3
@radix-ui/react-focus-scope 1.1.7
@radix-ui/react-id 1.1.1
@radix-ui/react-menu 2.1.16
